,Fecha,Precio,Producto,Lugar,Categoria
67,2022-01-07,1.32,Nata,Mercadona,Supermercado
68,2022-01-07,0.8,Mostaza dulce,Mercadona,Supermercado
69,2022-01-08,11.3,Merienda larios,Blend cafe,Salidas
70,2022-01-08,27.99,Repuesto oral b,Amazon,Farmacia
71,2022-01-11,0.0,Horno,Amazon,Vivienda
72,2022-01-10,1.99,Jamon york lonchas,Mercadona,Supermercado
73,2022-01-10,7.92,Coca cola,Mercadona,Supermercado
74,2022-01-10,3.84,Leche,Lidl,Supermercado
75,2022-01-10,2.75,Pizzas,Lidl,Supermercado
76,2022-01-10,3.27,Queso lonchas,Lidl,Supermercado
77,2022-01-10,0.99,Nuggets de pollo,Lidl,Supermercado
78,2022-01-10,3.58,Cuña de queso,Lidl,Supermercado
79,2022-01-10,1.29,Turron crujiente,Lidl,Supermercado
80,2022-01-10,0.95,Liquido limpia cristal,Lidl,Farmacia
81,2022-01-10,0.72,Lejia detergente,Lidl,Farmacia
82,2022-01-11,0.95,Pan lactal,Mercadona,Supermercado
83,2022-01-11,1.15,Cebolla,Mercadona,Supermercado
84,2022-01-15,3.0,Papel aluminio,Mercadona,Vivienda
85,2022-01-15,1.2,Papel vegetal,Mercadona,Vivienda
86,2022-01-15,1.65,Caperucita tinta,Mercadona,Supermercado
87,2022-01-15,2.95,Huevos,Mercadona,Supermercado
88,2022-01-15,2.2,Lasaña boloñesa,Mercadona,Supermercado
89,2022-01-15,2.2,Canelones carne,Mercadona,Supermercado
90,2022-01-15,2.13,Lasaña barbacoa,Mercadona,Supermercado
91,2022-01-15,0.85,Estropajo ,Mercadona,Vivienda
92,2022-01-15,1.0,Patatas chili lima,Mercadona,Supermercado
93,2022-01-15,0.65,Patatas onduladas,Mercadona,Supermercado
94,2022-01-15,1.0,Pan bocadillos,Mercadona,Supermercado
95,2022-01-15,1.0,Salsa chili dulce,Mercadona,Supermercado
96,2022-01-15,1.0,Pan sin corteza,Mercadona,Supermercado
97,2022-01-15,0.95,Pan lactal,Mercadona,Supermercado
98,2022-01-15,1.2,Te negro,Mercadona,Supermercado
99,2022-01-15,0.79,Lechuga,Mercadona,Supermercado
100,2022-01-17,2.05,Lasaña verduras,Mercadona,Supermercado
101,2022-01-17,0.75,Pan rallado,Mercadona,Supermercado
102,2022-01-17,0.85,Pan rallado ajo/per,Mercadona,Supermercado
103,2022-01-17,1.65,Acelga,Mercadona,Supermercado
104,2022-01-17,1.8,Queso rallado,Mercadona,Supermercado
105,2022-01-17,1.3,Espinaca,Mercadona,Supermercado
106,2022-01-17,1.4,Cesta inodoro,Mercadona,Farmacia
107,2022-01-17,1.6,Bandas aux,Mercadona,Farmacia
108,2022-01-17,1.99,Jamon,Mercadona,Supermercado
109,2022-01-17,0.65,Patatas onduladas,Mercadona,Supermercado
110,2022-01-17,1.49,Bocaditos cacao,Lidl,Supermercado
111,2022-01-17,0.79,Galletas rellenas,Lidl,Supermercado
112,2022-01-17,3.27,Queso en lonchas,Lidl,Supermercado
113,2022-01-17,1.84,Tomate,Maskom,Supermercado
114,2022-01-17,1.85,Pimiento 3color,Maskom,Supermercado
115,2022-01-17,1.92,Melon piel de sapo,Maskom,Supermercado
116,2021-12-24,2.7,Fanta limon,Carrefour,Supermercado
117,2021-12-24,1.49,Vino,Carrefour,Supermercado
118,2021-12-24,2.15,Salsa perrin,Carrefour,Supermercado
119,2022-01-24,2.95,Huevos,Mercadona,Supermercado
120,2022-01-24,1.1,Crema humectante aloe,Mercadona,Supermercado
121,2022-01-24,26.35,Electricidad enero,,"Suministros (luz, agua, gas, etc.)"
122,2022-01-21,2.28,Fanta limon,Carrefour,Supermercado
123,2022-01-21,1.45,Cheetos,Carrefour,Supermercado
124,2022-01-21,1.35,Oreo blancas,Carrefour,Supermercado
125,2022-01-21,2.15,Mayonesa,Carrefour,Supermercado
126,2022-01-21,0.69,Turron crujiente,Carrefour,Supermercado
127,2022-01-21,4.18,Masa empanadas,Carrefour,Supermercado
128,2022-01-21,1.15,Queso untar,Carrefour,Supermercado
129,2022-01-21,2.99,Mini magdalenas,Carrefour,Supermercado
130,2022-01-23,9.2,Valdi,,Salidas
131,2022-01-15,2.0,Cubre horno,Chino,Vivienda
132,2022-01-15,0.6,Adhesivo perfume,Chino,Vivienda
133,2022-01-15,0.75,Perfume,Chino,Vivienda
134,2022-01-26,9.75,Amazon fire tv,Amazon,Vivienda
135,2022-01-28,1.35,Pan de leche,Mercadona,Supermercado
136,2022-01-28,1.5,Mani frito,Mercadona,Supermercado
137,2022-01-24,1.99,Jamon en lonchas,Mercadona,Supermercado
138,2022-01-24,2.0,Dulce membrillo,Mercadona,Supermercado
139,2022-01-24,0.95,Arroz,Mercadona,Supermercado
140,2022-01-24,0.67,Harina de fuerza,Mercadona,Supermercado
141,2022-01-24,1.2,Patatas gajo,Mercadona,Supermercado
142,2022-01-24,1.35,Patatas baston,Mercadona,Supermercado
143,2022-01-24,2.6,Tomate,Mercadona,Supermercado
144,2022-01-25,0.85,Cebolla crujiente,Mercadona,Supermercado
145,2022-01-25,1.25,Patatas paja,Mercadona,Supermercado
146,2022-01-25,1.12,Salchicha comun,Mercadona,Supermercado
147,2022-01-25,1.9,Salchicha gourmet,Mercadona,Supermercado
148,2022-01-25,1.35,Pan de leche,Mercadona,Supermercado
149,2022-01-25,1.4,Napolitana mixta,Mercadona,Supermercado
150,2022-01-30,9.2,Merienda juampi,La canasta,Salidas
151,2022-01-31,2.16,Azucar,Lidl,Supermercado
152,2022-01-31,2.09,Cafe,Lidl,Supermercado
153,2022-01-31,1.98,Nuggets pollo,Lidl,Supermercado
154,2022-01-31,5.95,Nestle caja roja,Lidl,Supermercado
155,2022-01-31,0.79,Garbanzos,Lidl,Supermercado
156,2022-01-31,1.69,Magdalena,Lidl,Supermercado
157,2022-01-31,1.19,Te,Lidl,Supermercado
158,2022-01-31,0.87,Bocaditos dulces,Lidl,Supermercado
159,2022-01-31,0.67,Pan de molde,Lidl,Supermercado
160,2022-01-31,7.68,Leche,Mercadona,Supermercado
161,2022-01-31,0.9,Patatas serrano,Mercadona,Supermercado
162,2022-01-31,0.65,Patatas onduladas,Mercadona,Supermercado
163,2022-01-31,1.1,Macarrones,Mercadona,Supermercado
164,2022-01-31,0.95,Arroz redondo,Mercadona,Supermercado
165,2022-01-31,1.65,Acelga,Mercadona,Supermercado
166,2022-01-31,1.99,Queso en lonchas,Mercadona,Supermercado
167,2022-01-31,1.3,Espinaca,Mercadona,Supermercado
168,2022-01-31,2.27,Vaca cortado,Mercadona,Supermercado
169,2022-01-31,1.8,Vino,Mercadona,Supermercado
170,2022-01-31,1.7,Pastas jamon,Mercadona,Supermercado
171,2022-01-31,0.8,Galletas rellenas,Mercadona,Supermercado
172,2022-01-31,1.65,Galletas saladas,Mercadona,Supermercado
173,2022-01-31,0.9,Tomate frito,Mercadona,Supermercado
174,2022-01-31,1.7,Pastas queso,Mercadona,Supermercado
175,2022-01-31,1.7,Pastas carne,Mercadona,Supermercado
176,2022-01-31,0.79,Lechuga,Mercadona,Supermercado
177,2022-01-31,1.06,Zanahoria,Mercadona,Supermercado
178,2022-01-31,1.65,Salchicha pavo-pollo,Mercadona,Supermercado
179,2022-01-31,1.4,Desodorante aloe,Mercadona,Farmacia
180,2022-01-31,1.1,Fideo spaghetti,Mercadona,Supermercado
181,2022-01-31,1.85,Papel humedo,Mercadona,Farmacia
182,2022-01-31,1.55,Bechamel,Mercadona,Supermercado
183,2022-01-31,1.55,Salchicha pavo-pollo,Mercadona,Supermercado
184,2022-01-31,2.0,Dulce de membrillo,Mercadona,Supermercado
185,2022-02-01,1.85,Yogurt sabores,Mercadona,Supermercado
186,2022-02-01,4.05,Atun,Mercadona,Supermercado
187,2022-02-01,1.0,Patatas brava,Mercadona,Supermercado
188,2022-02-01,1.35,Patatas horno,Mercadona,Supermercado
189,2022-02-01,2.99,Piña pelada,Mercadona,Supermercado
190,2022-02-01,1.2,Patatas gajo,Mercadona,Supermercado
191,2022-02-01,0.9,Yogomix yogurt,Mercadona,Supermercado
192,2022-02-01,2.5,Uva blancas,Mercadona,Supermercado
193,2022-02-01,1.7,Cebolla,Mercadona,Supermercado
194,2022-02-05,2.8,Palo de amasar,Carrefour,Vivienda
195,2022-02-05,0.8,Mozzarella fresca,Mercadona,Supermercado
196,2022-02-05,1.3,Queso rayado pizza,Mercadona,Supermercado
197,2022-02-05,2.88,Fanta limon,Carrefour,Supermercado
198,2022-02-05,1.6,Bacon,Carrefour,Supermercado
199,2022-02-03,2.95,Huevos,Mercadona,Supermercado
200,2022-02-07,0.35,Impresión ,Copy,Tramites
201,2022-02-07,1.99,Jamon,Mercadona,Supermercado
202,2022-02-07,1.1,Mayonesa,Mercadona,Supermercado
203,2022-02-07,1.0,Bolsas,Mercadona,Vivienda
204,2022-02-07,1.99,Queso en lonchas,Mercadona,Supermercado
205,2022-02-07,4.3,Papel higienico,Mercadona,Farmacia
206,2022-02-11,0.8,Pan de pancho,Carrefour,Supermercado
207,2022-02-11,2.95,Tomate perita,Carrefour,Supermercado
208,2022-02-11,19.27,Pechuga de pollo,Carrefour,Supermercado
209,2022-02-11,3.3,Solomillo,Carrefour,Supermercado
210,2022-02-12,1.5,Foccacia,Mercadona,Supermercado
211,2022-02-12,2.95,Huevos,Mercadona,Supermercado
212,2022-02-12,1.3,Patatas onduladas,Mercadona,Supermercado
213,2022-02-12,1.0,Mascarillas azul,Mercadona,Farmacia
214,2022-02-12,3.25,Mascarillas negras,Mercadona,Farmacia
215,2022-02-12,0.95,Pan lactal,Mercadona,Supermercado
216,2022-02-12,1.2,Patatas gajo,Mercadona,Supermercado
217,2022-02-12,1.0,Patatas bravas,Mercadona,Supermercado
218,2022-02-13,7.8,Merienda,Tejerinos,Salidas
219,2022-02-13,1.0,Propina,Tejerinos,Salidas
220,2022-02-16,4.02,Leche,Mercadona,Supermercado
221,2022-02-16,2.11,Cuñitas queso,Mercadona,Supermercado
222,2022-02-16,1.65,Galletas saladas,Mercadona,Supermercado
223,2022-02-16,1.5,Mani frito,Mercadona,Supermercado
224,2022-02-16,1.85,Yogurt sabores,Mercadona,Supermercado
225,2022-02-16,1.15,Avena,Mercadona,Supermercado
226,2022-02-16,0.8,Mozzarella fresca,Mercadona,Supermercado
227,2022-02-16,1.99,Jamon,Mercadona,Supermercado
228,2022-02-16,1.99,Queso en lonchas,Mercadona,Supermercado
229,2022-02-16,1.3,Queso rallado pizza,Mercadona,Supermercado
230,2022-02-16,1.4,Queso cheddar,Mercadona,Supermercado
231,2022-02-16,7.0,Tarta blanca,Mercadona,Supermercado
232,2022-02-19,3.0,Fotocopia,Copy,Tramites
233,2022-02-19,0.12,Fotocopia ,Copy,Tramites
234,2022-02-21,1.95,Tortilla patatas,Mercadona,Supermercado
235,2022-02-21,2.85,Pizza barbacoa,Mercadona,Supermercado
236,2022-02-20,9.1,Burger king,Bk,Salidas
237,2022-02-20,6.5,Burger king,Bk,Salidas
238,2022-02-24,0.95,Pan lactal,Mercadona,Supermercado
239,2022-02-24,1.0,Pan bocadillo,Mercadona,Supermercado
240,2022-02-24,1.4,Pan de pueblo,Mercadona,Supermercado
241,2022-02-24,1.99,Queso en lonchas,Mercadona,Supermercado
242,2022-02-24,1.99,Jamon,Mercadona,Supermercado
243,,33.24,Luz,,"Suministros (luz, agua, gas, etc.)"
244,2022-02-26,3.99,Yerba mate,Carrefour,Supermercado
245,2022-02-26,1.05,Galletas hogareñas,Carrefour,Supermercado
246,2022-03-01,8.04,Leche,Mercadona,Supermercado
247,2022-03-01,1.35,Patatas baston,Mercadona,Supermercado
248,2022-03-01,1.2,Patatas gajo,Mercadona,Supermercado
249,2022-03-01,1.0,Patatas bravas,Mercadona,Supermercado
250,2022-03-01,1.65,Acelga,Mercadona,Supermercado
251,2022-03-01,1.3,Espinaca,Mercadona,Supermercado
252,2022-03-01,2.4,Azucar,Mercadona,Supermercado
253,2022-03-01,1.15,Papel vegetal,Mercadona,Vivienda
254,2022-03-01,1.1,Spaghetti,Mercadona,Supermercado
255,2022-03-01,0.85,Cebolla frita,Mercadona,Supermercado
256,2022-03-01,0.85,Pan rallado ajo/perejil,Mercadona,Supermercado
257,2022-03-01,1.5,Mani frito con miel,Mercadona,Supermercado
258,2022-03-01,1.1,Fideo macarron,Mercadona,Supermercado
259,2022-03-01,0.75,Pan rallado,Mercadona,Supermercado
260,2022-03-01,0.95,Arroz redondo,Mercadona,Supermercado
261,2022-03-01,1.3,Harina de pizza,Mercadona,Supermercado
262,2022-03-01,1.7,Tortelloni jamon,Mercadona,Supermercado
263,2022-03-01,1.7,Tortelloni carne,Mercadona,Supermercado
264,2022-03-01,0.8,Galletitas rebuenas,Mercadona,Supermercado
265,2022-03-01,2.4,Lasaña barbacoa,Mercadona,Supermercado
266,2022-03-01,2.4,Lasaña boloñesa,Mercadona,Supermercado
267,2022-03-01,2.4,Lasaña verdura,Mercadona,Supermercado
268,2022-03-01,1.32,Pimienta,Mercadona,Supermercado
269,2022-03-01,1.6,Mozzarella,Mercadona,Supermercado
270,2022-03-01,0.85,Lechuga,Mercadona,Supermercado
271,2022-03-01,3.25,Huevos,Mercadona,Supermercado
272,2022-03-01,1.75,Bechamel,Mercadona,Supermercado
273,2022-03-01,1.79,Morron,Mercadona,Supermercado
274,2022-03-01,1.3,Queso rallado,Mercadona,Supermercado
275,2022-03-01,0.65,Zanahoria,Mercadona,Supermercado
276,2022-03-01,1.41,Salchicha frankfurt,Mercadona,Supermercado
277,2022-03-01,1.9,Salchicha gourmet,Mercadona,Supermercado
278,2022-03-01,1.55,Salchicha pavo,Mercadona,Supermercado
279,2022-03-01,1.64,Salchicha frankfut bocata,Mercadona,Supermercado
280,2022-03-01,1.0,Queso crema,Mercadona,Supermercado
281,2022-03-01,1.8,Tupper redondo,Mercadona,Vivienda
282,2022-03-01,1.25,Chia,Mercadona,Supermercado
283,2022-03-01,4.05,Atun,Mercadona,Supermercado
284,2022-03-01,2.2,Membrillo,Mercadona,Supermercado
285,2022-03-01,2.15,Queso cuñitas,Mercadona,Supermercado
286,2022-03-01,0.9,Pasta de dientes,Mercadona,Farmacia
287,2022-03-01,0.67,Ajo ,Mercadona,Supermercado
288,2022-03-01,2.25,Pure de tomate,Mercadona,Supermercado
289,2022-03-01,0.9,G lechoso cocido,Mercadona,Supermercado
290,2022-03-06,1.8,Vaso vidrio,Carrefour,Vivienda
291,2022-03-03,1.15,Patatas lisas,Carrefour,Supermercado
292,2022-03-03,1.15,Patatas onduladas,Carrefour,Supermercado
293,2022-03-03,0.36,Sal fina,Carrefour,Supermercado
294,2022-03-03,0.99,Te clasico,Carrefour,Supermercado
295,2022-03-03,1.22,Croissant,Carrefour,Supermercado
296,2022-03-03,1.35,Madgalena,Carrefour,Supermercado
297,2022-03-03,0.65,Pan pancho,Carrefour,Supermercado
298,2022-03-03,0.95,Pan molde,Carrefour,Supermercado
299,2022-03-03,6.98,Lomo,Carrefour,Supermercado
300,2022-03-03,4.15,Solomillo,Carrefour,Supermercado
301,2022-03-02,2.19,Mayo heinz,Carrefour,Supermercado
302,2022-03-02,2.75,Salsa cesar heinz,Carrefour,Supermercado
303,2022-03-06,8.37,Gin larios,Carrefour,Supermercado
304,2022-03-06,1.3,Sprite,Carrefour,Supermercado
305,2022-03-07,1.99,Jamon,Mercadona,Supermercado
306,2022-03-07,1.99,Queso en lonchas,Mercadona,Supermercado
307,2022-03-07,1.4,Cheddar,Mercadona,Supermercado
308,2022-03-07,0.8,Galletitas rellenas,Mercadona,Supermercado
309,2022-03-07,1.0,Pan,Mercadona,Supermercado
310,2022-03-07,1.05,Pan lactal,Mercadona,Supermercado
311,2022-03-07,1.7,Galletitas saladas,Mercadona,Supermercado
312,2022-03-07,1.14,Chocolate con avellanas,Lidl,Supermercado
313,2022-03-07,5.07,Nuggets pollo,Lidl ,Supermercado
314,2022-03-07,1.19,Chocolate bellona,Lidl ,Supermercado
315,2022-03-07,0.55,Chocolate blanco,Lidl ,Supermercado
316,2022-03-10,8.4,10 pasajes,,Transporte
317,2022-03-14,3.25,Huevos,,Supermercado
318,2022-03-14,1.99,Jamon,,Supermercado
319,2022-03-14,1.99,Queso en lonchas,,Supermercado
320,2022-03-14,2.43,Tomate,,Supermercado
321,2022-03-11,15.99,Almohada,Carrefour,Vivienda
322,2022-03-11,7.99,Fundas gris,Carrefour,Vivienda
323,2022-03-11,8.98,Protector almohada,Carrefour,Vivienda
324,2022-03-12,7.9,Valdi,,Salidas
325,2022-03-23,13.53,Termómetro ,,Farmacia
326,,10.0,Cumple mica,,Salidas
327,2022-03-23,1.26,Agua mineral,Mercadona,Supermercado
328,2022-03-23,1.99,Queso lonchas,Mercadona,Supermercado
329,2022-03-23,1.99,Jamon lonchas,Mercadona,Supermercado
330,2022-03-23,2.2,Membrillo,Mercadona,Supermercado
331,2022-03-23,1.0,Pan bocata,Mercadona,Supermercado
332,2022-03-23,1.25,Pan lactal,Mercadona,Supermercado
333,2022-03-23,2.5,Masa tarta,Mercadona,Supermercado
334,2022-03-18,1.78,Pan mollete,Carrefour,Supermercado
335,2022-03-17,6.95,Pizza,Telepizza,Supermercado
336,2022-03-25,1.49,Cheetos,Carrefour,Supermercado
337,2022-03-25,3.7,Miel,Carrefour,Supermercado
338,2022-03-25,1.79,Pimientos tricolor,Carrefour,Supermercado
339,2022-03-26,1.26,Agua mineral,Mercadona,Supermercado
340,2022-03-26,2.15,Huevos,Mercadona,Supermercado
341,2022-03-28,6.2,Lomo,Carrefour,Supermercado
342,2022-03-28,12.22,Pollo,Carrefour,Supermercado
343,2022-03-30,0.93,Film transparente,Farmacia,Vivienda
344,2022-03-30,5.55,Cafe,Carrefour,Supermercado
345,2022-03-30,1.98,Harina de pizza,Carrefour,Supermercado
346,2022-03-30,0.35,Sal fina,Carrefour,Supermercado
347,2022-03-30,1.25,Te,Carrefour,Supermercado
348,2022-03-30,1.41,Pan pancho,Carrefour,Supermercado
349,2022-03-30,1.95,Bolsas,Carrefour,Vivienda
350,2022-03-26,0.99,Chocolates m&m,Carrefour,Supermercado
351,2022-03-26,2.09,Lays,Carrefour,Supermercado
352,2022-03-26,2.49,Nesquik,Carrefour,Supermercado
353,2022-03-26,1.3,Facturas,Carrefour,Supermercado
354,2022-03-26,0.99,Napolitanas,Carrefour,Supermercado
355,2022-03-26,1.6,Bacon,Carrefour,Supermercado
356,2022-03-26,1.39,Frutillas,Carrefour,Supermercado
357,2022-03-26,1.25,Rosquilla,Carrefour,Supermercado
358,2022-03-26,1.25,Rosquillas choco,Carrefour,Supermercado
359,,2.55,Chino,Chino,Vivienda
360,2022-03-30,0.73,Agua mineral,Mercadona,Supermercado
361,2022-03-30,8.04,Leche,Mercadona,Supermercado
362,2022-03-30,1.0,Patatas bravas,Mercadona,Supermercado
363,2022-03-30,1.2,Patatas gajo,Mercadona,Supermercado
364,2022-03-30,1.25,Macarron,Mercadona,Supermercado
365,2022-03-30,1.7,Tortelloni jamonn,Mercadona,Supermercado
366,2022-03-30,1.7,Tortelloni carne,Mercadona,Supermercado
367,2022-03-30,0.9,Ketchup,Mercadona,Supermercado
368,2022-03-30,1.9,Arroz redondo,Mercadona,Supermercado
369,2022-03-30,1.7,Galletitas saladas,Mercadona,Supermercado
370,2022-03-30,1.0,Harina de fuerza,Mercadona,Supermercado
371,2022-03-30,0.63,Agua,Mercadona,Supermercado
372,2022-03-30,1.45,Salchicha frankfurt,Mercadona,Supermercado
373,2022-03-30,1.69,Salchicha bocata,Mercadona,Supermercado
374,2022-03-30,2.0,Salchicha gourmet,Mercadona,Supermercado
375,2022-03-30,1.55,Salchicha pavo pollo,Mercadona,Supermercado
376,2022-03-30,0.6,Lenteja,Mercadona,Supermercado
377,2022-03-30,0.6,Garbanzo,Mercadona,Supermercado
378,2022-03-30,0.6,Alubia,Mercadona,Supermercado
379,2022-03-30,2.1,Queso en lonchas,Mercadona,Supermercado
380,2022-03-30,2.4,Pure de tomate,Mercadona,Supermercado
381,2022-03-30,1.15,Mani frito,Mercadona,Supermercado
382,2022-03-30,1.3,Queso rallado,Mercadona,Supermercado
383,2022-03-30,2.16,Cuñitas,Mercadona,Supermercado
384,2022-03-30,1.55,Chedar,Mercadona,Supermercado
385,2022-03-30,1.85,Papel higienico humedo,Mercadona,Farmacia
386,2022-03-30,0.85,Lechuga,Mercadona,Supermercado
387,2022-03-30,2.8,Tomate,Mercadona,Supermercado
388,2022-03-30,1.2,Jabon blanco,Mercadona,Farmacia
389,2022-03-30,1.0,Pasta de dientes,Mercadona,Farmacia
390,2022-03-30,1.4,Desodrante,Mercadona,Farmacia
391,2022-03-30,3.95,Huevos,Mercadona,Supermercado
392,2022-04-01,20.0,Asado,Tincho,Salidas
393,2022-04-01,4.14,Moto,Cabify,Transporte
394,2022-04-04,0.73,Agua mineral,Mercadona,Supermercado
395,2022-04-04,1.0,5 bocadillos,Mercadona,Supermercado
396,2022-04-04,3.2,Tomate tamizado,Mercadona,Supermercado
397,2022-04-04,0.55,Guisantes,Mercadona,Supermercado
398,2022-04-04,0.8,Pimenton,Mercadona,Supermercado
399,2022-04-04,0.75,Perejil,Mercadona,Supermercado
400,2022-04-04,2.89,Cebolla,Mercadona,Supermercado
401,2022-04-04,0.8,Garbanzo,Mercadona,Supermercado
402,2022-04-04,0.75,Lenteja,Mercadona,Supermercado
403,2022-04-04,0.7,Alubia,Mercadona,Supermercado
404,2022-04-04,0.69,Zanahoria,Mercadona,Supermercado
405,2022-04-04,0.9,Cookies choco,Mercadona,Supermercado
406,2022-04-04,1.25,Pan de molde,Mercadona,Supermercado
407,2022-04-06,3.2,Labial protector,Margarita,Farmacia
408,2022-04-02,0.63,Agua,Mercadona,Supermercado
409,2022-04-02,0.73,Agua,Mercadona,Supermercado
410,2022-04-02,2.4,Canelones carnes,Mercadona,Supermercado
411,2022-04-02,2.4,Lasaña barbacoa,Mercadona,Supermercado
412,2022-04-02,2.4,Lasaña verduras,Mercadona,Supermercado
413,2022-04-02,3.6,Vino tinto,Mercadona,Supermercado
414,2022-04-02,2.4,Lasaña boloñesa,Mercadona,Supermercado
415,2022-04-02,0.9,Patatas onduladas,Mercadona,Supermercado
416,2022-04-02,1.2,Patatas serrano,Mercadona,Supermercado
417,2022-04-02,1.1,Patata light,Mercadona,Supermercado
418,2022-04-02,0.8,Choco leche suave,Mercadona,Supermercado
419,2022-04-02,0.6,Choco blanco,Mercadona,Supermercado
420,2022-04-02,0.8,Choco fussion coco,Mercadona,Supermercado
421,2022-04-02,0.8,Choco fussion galleta,Mercadona,Supermercado
422,2022-04-02,0.9,Milka con oreo,Mercadona,Supermercado
423,2022-04-02,0.9,Milka caramelo,Mercadona,Supermercado
424,2022-04-02,1.05,Choco leche suave,Mercadona,Supermercado
425,2022-04-02,0.9,Cookies choco,Mercadona,Supermercado
426,2022-04-02,2.0,Rebuenas,Mercadona,Supermercado
427,2022-04-02,1.75,Bechamel,Mercadona,Supermercado
428,2022-04-08,0.73,Agua,Mercadona,Supermercado
429,2022-04-08,0.95,Nachos,Mercadona,Supermercado
430,2022-04-08,2.1,Queso en lonchas,Mercadona,Supermercado
431,2022-04-08,1.55,Chia,Mercadona,Supermercado
432,2022-04-08,1.25,Pan de molde,Mercadona,Supermercado
433,2022-04-08,1.3,Queso rallado pizza,Mercadona,Supermercado
434,2022-04-08,1.99,Jamon,Mercadona,Supermercado
435,2022-04-08,1.1,Hummus,Mercadona,Supermercado
